"Username","Date","Rating","Comment","Link"
"hitler h",3/29/2018 1:48:34 PM,"none","I'm so hangery","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxqG4Dp4FJCCLB9lTF4AaABAg"
"Cassandra Louise Carlet",3/28/2018 12:16:43 PM,"none","Penay","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxuOspLnTAzH-rkq4d4AaABAg"
"Lavenia Hewes",3/28/2018 12:13:18 PM,"none","I tried hellofresh vegetarian and it was delicious","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugw-8-toQEvPEnxJTpx4AaABAg"
"Shelby Harvey",3/28/2018 3:33:43 AM,"none","I love blue apron","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxzQKLo8ACXTq4PPuB4AaABAg"
"Deborah Erickson",3/27/2018 3:57:26 PM,"none","I love the concept of this. However it lacks appeal to children under age nine. Some fun cartoon or activity pages encouraging children ages 4-8 to eat their vegetables would be a big improvement. There wasn’t a single thing in the box for children even though I ordered the family box a few times.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwzVY0JiSe7_vrMH6x4AaABAg"
"WorstCriticEver",3/27/2018 1:54:17 PM,"none","I’ve been using HelloFresh for about a few months now and I have to say it’s very easy to make but you do need patience in the right utilities to make everything work out once you have that you eat grate every single time","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxCXO0vDpeiRI_GseV4AaABAg"
"ShadowDancer Babeena_Gt",3/25/2018 7:39:04 PM,"none","Does hello fresh have vegetarian dishes","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugzhdi035cNliEKbPeh4AaABAg"
"Forever Undying",3/25/2018 12:42:48 AM,"none","Me and my wife tried one of these a year ago, I forget which, but it was filled with trendy west coast cuisine and was also small portions.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgyVG6PmTR9A4heoM794AaABAg"
"Technicolor YaYa",3/24/2018 7:00:32 PM,"none","I LOVE HelloFresh! It was totally worth it for us when my husband was alive. He was a huge overeater. The meals give awesome portions and no waste. We went from $260 a week (yes, big over eater) to $145 a week. Love it!","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwetTz0ejh-jkHS4154AaABAg"
"J Liebs",3/21/2018 8:18:32 PM,"none","Sunbasket and home chef are BOTH way better than either blue apron or the unimpressive hello fresh","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugwg9CAvTeTtadHYstV4AaABAg"
"isaiah brunache",3/21/2018 12:44:23 AM,"none","I'm new to your channel u da best","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwOjHgLNDDeK0KpILN4AaABAg"
"Zina Shepherd",3/20/2018 2:36:16 AM,"none","Okay what. Ever i go to store. Frozen food bertolli. On sale this week cost 6.99  shrimp penne and asparagus also it has creamy tomato basil sauce. Add some nice bread and wine. Optional. Cost wise i did way better then both of those some times bertolli. Is when not on sale 8 or 9 bucks at the most open it dump in cook and done it's all ready made and no unpacking no work open dump cook and done","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgzBSsCwKJ7KqOqi9tJ4AaABAg"
"TrashLord Lord of the Trash",3/18/2018 1:35:12 AM,"none","Pro tip: if you think their recipes sound good, don’t want to actually order these boxes, and can’t find a good substitute online; I found people sell the recipe cards online!","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugy4tBSEPXj2uecw5qB4AaABAg"
"TELEVISIBLE",3/14/2018 5:40:55 AM,"none","Please do not use this kind of service !!! It is horrible to make huge waste !!!","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugw_zUtc8tfHiBHr_c14AaABAg"
"TeddyDrunk1",3/14/2018 4:06:33 AM,"none","I wouldn't recommend in my opinion neither blue apron nor hello fresh they are quite expensive, to be honest the best price/quality I would recommend Gousto I used to sell this box door to door so had to compare them quite alot between hellofresh and Gousto and there were a few times where hellofresh were quite unset at what they got with it being late or with the lack of choose.

Just a quick note I am not a rep for Gousto or worked directly with them I was with a third-party advertising company I left as my pay was a joke and hours were mon-sat 12-8 no basic so... Yeah.. any questions just ask.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugy6Veh6If2Q3TMmLwp4AaABAg"
"Queen Small",3/14/2018 2:30:07 AM,"none","I could pay $9 - $12 for groceries that are healthy and would last two days. This stuff is super over priced.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgzUYvoXH0-gmO9Nbll4AaABAg"
"Joey Fiorentino",3/13/2018 11:10:37 PM,"none","Has anyone ever noticed how big his head is? It's like a fully grown man's head on a 13 year old boys body","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugx-T0O4f9re85x5fHN4AaABAg"
"Miss FluffyBunz",3/13/2018 5:59:07 PM,"none","I had blue apron for a couple of weeks. My issue was I just had too much food. I didn’t feel like cooking every time so most of the things sat in my fridge or freezer","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwPh8TCFAwQ0eLJCzJ4AaABAg"
"LunaMoon",3/13/2018 3:11:57 AM,"none","Ugh, lots of garbage created per meal 😕","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgzttondR0iPsYFkltR4AaABAg"
"Julius Red",3/12/2018 5:37:59 AM,"none","Ice packs should say ""more ingredients underneath""","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxcQuIsaTHRB91SAqt4AaABAg"
"Taureg",3/12/2018 3:29:31 AM,"none","Nice review, I'm concerned about the tremendous amount of waste having everything individually packaged","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugwvf96xsc91IEBJ1SJ4AaABAg"
"John Bergeron",3/11/2018 11:59:43 PM,"none","Matt I'm new to your Channel enjoying it very much","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugyi1OfN4DbgcK-0p894AaABAg"
"Devendra Sharma",3/11/2018 1:38:51 AM,"none","You can easily look up how to cook all this without either one of these food services.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxWA4ppeisgZfYn-yh4AaABAg"
"Anakaren Huerta",3/11/2018 1:28:04 AM,"none","I like HelloFresh way better than Blue Apron! You can get $40 off your first box and free delivery with the promo code: ANAKHU","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwiwKKGPur0chITuEN4AaABAg"
"Valerija Butakova",3/10/2018 5:48:54 PM,"none","LMAOO I got an ad for this type of thing but its called ""Plated"" Ha","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwUe0E_AsRQbOsaQ5x4AaABAg"
"Blondie Velour",3/10/2018 1:33:14 PM,"none","Thanks for posting this as I am doing a trial run of each over the next couple of weeks.  Hello Fresh seems to have more recipes that appeal to me, and, I like the fact that you can cancel right from your account, with Blue Apron, you have to email someone to get a cancellation link.  We eat out a lot, so I think we will find value here and it will hopefully get us in the habit of cooking at home more.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugz0z5MZWWVZSjgilPF4AaABAg"
"Killian787",3/10/2018 3:01:18 AM,"none","you can use the code MARISPACH for $40 off of your order for hellofresh","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgzwU3s5bDhVIRyUSqR4AaABAg"
"zebraG",3/10/2018 1:49:15 AM,"none","Coolio I wanna try hello fresh now","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgzMTl8yVoF87bYCIOd4AaABAg"
"liam mortimer",3/9/2018 11:05:00 PM,"none","U can’t cook","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgzR6DbB4E1j7k4-wFh4AaABAg"
"Angelina Romero",3/9/2018 6:14:55 PM,"none","theirs so much unnecessary packaging","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgyAPvwfQ6Yrv9JipbF4AaABAg"
"Eddi Kamber",3/8/2018 4:45:23 AM,"none","Hahaha as expected","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxYLCcY1S38COIDwn14AaABAg"
"Roxanne Thierry",3/8/2018 4:31:37 AM,"none","I always thought about using hello fresh","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxOvnFs4SprSOTEhW14AaABAg"
"Guadalupe Lopez",3/8/2018 12:13:06 AM,"none","Thanks so informative love your energy!","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgzOwTao3cu1JjIBkE54AaABAg"
"Kennabug 1217",3/8/2018 12:11:59 AM,"none","Is it just me or is his head extremely big for his body","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxU3S5vTY0TzkOI7H94AaABAg"
"eye rule",3/7/2018 9:51:15 PM,"none","im glad u posted this i was curious about these services worth a try now","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxZFy1XeJ-lK0FFqzx4AaABAg"
"Chris/Tracy Veal",3/7/2018 8:41:13 PM,"none","Our family has tried both services and we preferred Hello Fresh as well. I think it’s a good deal if you are in a “what’s for dinner rut”.  My family seems more open to trying new recipes when it’s presented this “fun” way to get the kids involved.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxAFMlW-oooXju93Hh4AaABAg"
"N Loca",3/6/2018 4:33:23 AM,"none","Can I win next one? :)","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgygkoGDwMEui1Lp8QF4AaABAg"
