"Username","Date","Rating","Comment","Link"
"Enid Murray",6/6/2018 5:18:50 PM,"none","Praying for someond shen they already passed away is a waste of time.
While a person is alive you can pray for them that God's fall on them so they can have a place of rest.
I prayed for two persons who was dying and they believed and made it.","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwmI9jd4-5ugJv0snV4AaABAg"
"Intzar Shakir",6/6/2018 10:55:10 AM,"none","may Allah give u janna til firdous Ali Binat brother...we will miss u..
i wish i also hold your caz...","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzrgTuk_DSWxxLiTsR4AaABAg"
"عبدالرحمن حربي",6/6/2018 4:14:27 AM,"none","😢😢😢😢😢😢","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxYKV6qNtJDQwGNNnR4AaABAg"
"waxy bayona",6/6/2018 1:19:21 AM,"none","Ine cannot pay nor bribe his way to heaven.","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugw1FR0KJF-0sTLVxjh4AaABAg"
"waxy bayona",6/6/2018 1:08:30 AM,"none","Money cannot buy salvation particularly if one profess wring faith, wrong god, wrong cause!","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwC6ZY_PfwT8cRJJJV4AaABAg"
"Lillcuz Lilly",6/6/2018 12:16:39 AM,"none","Rip","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugy2IOnNFtBtn--ruYt4AaABAg"
"Kam Kamela",6/5/2018 11:54:24 PM,"none","አተልጂውይግንእፍአላህጀነተልፍዶስይወፍቅህያርብ","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxrUNiPGnmoLR_Ed1x4AaABAg"
"chrisbreezy chris",6/5/2018 5:04:43 PM,"none","May God forgive you","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxjostU9W3ifSY1aj94AaABAg"
"Shaziya Haji",6/5/2018 5:01:37 PM,"none","Ramdhan ki mout.... Mashallah..... Nasib valo ko milti hai... Allah magfirat Kare....","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxkdOyfSn6VIciTSbB4AaABAg"
"Faisal Nazir",6/5/2018 4:38:27 PM,"none","Ya ALLAH GIVE this man jannah","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxROSCXVHY8dOELPu14AaABAg"
"Haya Alrfou",6/5/2018 4:10:30 PM,"none","May Allah  Grant Him The Highest Rank In Paradise.. Aameen","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxiPxkHF3I-llSovP94AaABAg"
"jaman AHMED",6/5/2018 12:04:05 PM,"none","my dear ali banat, I miss you too much from Bangladesh,, really you are successful,, insha allah you are staying heaven jannatul firdaus,,you were  Model, person","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgyQg4L2ryqNiBtqU9R4AaABAg"
"sa mi",6/5/2018 11:22:29 AM,"none","Inna lillahi wa innaillahi rajioon. MATW PROJECT - Please donate to MAWT, A Project initiated by Banat Ali.
 The more we give sadaqah the more we increase our eeman and Allah rewards us, both in this world and in the hereafter. Giving charity out of our wealth does not decrease our wealth but instead Allah increases it.""","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugw0S8WpkBV62IHdugh4AaABAg"
"shuvra apple",6/5/2018 7:34:22 AM,"none","O j kaferder k dan korlo eta niye ekta video banan. But as a human i respect him. He become the example of human by human, human for human. he will be","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgyJAhDYdYoh2sDiFwx4AaABAg"
"mosad90",6/5/2018 6:52:57 AM,"none","This man is a straight SAVAGE! HE WENT OUT THE WAY WE ALL WISH TO. MAY ALLAH GRANT HIM JANNAT FIRDOUS!!!","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgykpCBkg6ZfJemJwyl4AaABAg"
"Shonar Bangla anu",6/5/2018 5:21:16 AM,"none","aamin","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzBaLUxIswkjecyWA54AaABAg"
"Riska Rig",6/5/2018 12:16:17 AM,"none","ya allah tempat kn lh ia disisimu amin","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwmZ6NYrEnDHJ5DnVB4AaABAg"
"Waseem Ullah",6/4/2018 11:17:05 PM,"none","He is already in jannah
In Ramadan all hell doors are locked
He will be with his Creator already","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugx1j21CcmsAUsKcIvl4AaABAg"
"Waseem Ullah",6/4/2018 11:15:46 PM,"none","What a time he gave up in Ramadan
What a blessed person","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwXYqFCzw6XzkCW6J54AaABAg"
"Noor Soleh",6/4/2018 9:37:10 PM,"none","ya allah terimah lah ali banat disisih mu ya allah tempat kan lah di surga mu iya Allah amin","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwIxT_ttMjBStSqvsd4AaABAg"
"Шамил Осман",6/4/2018 9:10:16 PM,"none","Бауырым жаның жəннатта болсын 😢😢😢","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxtDQF9d8AEz2PosMt4AaABAg"
"Hassan Khan aj kyun teri yad aye nice",6/4/2018 9:06:40 PM,"none","Allah Pak ap ko janat mein jaga day ameen suma ameen","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugx8sHhSSZKig0Lqkj94AaABAg"
"Julie Jordy natural beauty ! Hatcher",6/4/2018 7:53:38 PM,"none","Sending my heart heart Condolences to his family and friends! A Good man right there👆🏾R.I.P. Brother no more pain!","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugxyu6ghRPiAxv-e-_Z4AaABAg"
"sobia Sayyed",6/4/2018 6:26:40 PM,"none","I am crying","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxSEyDrH2NDHAw4PeJ4AaABAg"
"Kz tv",6/4/2018 6:02:36 PM,"none","LA ILAHA ILLALLAH.(ALI BANAT JANNAT FiRDAUS","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgyYx_4wl1rSgx32Gb14AaABAg"
"Jones Elly",6/4/2018 3:55:30 PM,"none","R.I.P Brother Ali Banat","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugze9lI6IDBLMWxeuoZ4AaABAg"
